Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
5/13/2015 21:55,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,INGLESIDE,NONE,GODEUS ST / MISSION ST,-122.4216815,37.7428222
5/13/2015 21:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,200 Block of EVELYN WY,-122.4493891,37.7426688
5/13/2015 21:17,ROBBERY,"ROBBERY, BODILY FORCE",Wednesday,INGLESIDE,NONE,1600 Block of VALENCIA ST,-122.4202721,37.74733163
5/13/2015 21:10,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,FILLMORE ST / LOMBARD ST,-122.4360492,37.79984122
5/13/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,2000 Block of BUSH ST,-122.4310176,37.78738807
5/13/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,500 Block of COLLEGE AV,-122.4236563,37.73255649
5/13/2015 21:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Wednesday,TARAVAL,NONE,19TH AV / SANTIAGO ST,-122.4757735,37.74491907
5/13/2015 20:54,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1300 Block of WEBSTER ST,-122.4310464,37.78302957
5/13/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1600 Block of WEBSTER ST,-122.4313095,37.78587063
5/13/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,KING ST / 3RD ST,-122.3918456,37.77812478
5/13/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,VALLEJO ST / BUCHANAN ST,-122.4318307,37.7956417
5/13/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,CALIFORNIA ST / BUCHANAN ST,-122.4305518,37.78932277
5/13/2015 20:15,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,1600 Block of MARKET ST,-122.4221276,37.77303302
5/13/2015 20:15,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TENDERLOIN,NONE,0 Block of STOCKTON ST,-122.4063518,37.78603116
5/13/2015 20:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,INGLESIDE,NONE,0 Block of CRESCENT AV,-122.4237023,37.73523279
5/13/2015 20:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,TARAVAL,NONE,LINCOLN WY / 14TH AV,-122.4717998,37.7656867
5/13/2015 19:52,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Wednesday,PARK,"ARREST, BOOKED",1500 Block of HAIGHT ST,-122.4477611,37.76984649
5/13/2015 19:33,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,BAYVIEW,NONE,23RD ST / WISCONSIN ST,-122.3986956,37.7547456
5/13/2015 19:33,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,BAYVIEW,NONE,23RD ST / WISCONSIN ST,-122.3986956,37.7547456
5/13/2015 19:30,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,SOUTHERN,NONE,0 Block of 3RD ST,-122.4032848,37.78730642
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,SOUTHERN,NONE,500 Block of BRANNAN ST,-122.3976156,37.77739182
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,SOUTHERN,NONE,MISSION ST / 2ND ST,-122.3998021,37.78800653
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,NORTHERN,NONE,GEARY ST / VANNESS AV,-122.4213958,37.78568434
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,HARRISON ST / 10TH ST,-122.4112792,37.77157858
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,GEARY BL / LAGUNA ST,-122.4279912,37.78495312
5/13/2015 19:28,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,CENTRAL,NONE,0 Block of SANSOME ST,-122.4007198,37.79071247
5/13/2015 19:28,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,CENTRAL,NONE,0 Block of SANSOME ST,-122.4007198,37.79071247
5/13/2015 19:15,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,300 Block of 10TH ST,-122.4116366,37.77178694
5/13/2015 19:15,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,TARAVAL,NONE,19TH AV / WINSTON DR,-122.4748992,37.72699053
5/13/2015 19:11,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,400 Block of BRANNAN ST,-122.395986,37.77883482
5/13/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,400 Block of BRANNAN ST,-122.395986,37.77883482
5/13/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,2000 Block of SUTTER ST,-122.4341214,37.78603305
5/13/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,100 Block of PAUL AV,-122.3971362,37.72280498
5/13/2015 19:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,MISSION,NONE,26TH ST / GUERRERO ST,-122.4225723,37.74877401
5/13/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,STOCKTON ST / SUTTER ST,-122.4069587,37.78943476
5/13/2015 18:45,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,0 Block of FREELON ST,-122.3964115,37.77918761
5/13/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,PARK,NONE,1000 Block of SCOTT ST,-122.4369999,37.77916217
5/13/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
5/13/2015 18:30,BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",Wednesday,BAYVIEW,NONE,1300 Block of FELTON ST,-122.417938,37.72660514
5/13/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1500 Block of FILLMORE ST,-122.4327438,37.78384245
5/13/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,PINE ST / GRANT AV,-122.4057448,37.79149808
5/13/2015 18:20,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,NORTHERN,NONE,600 Block of VANNESS AV,-122.4206914,37.78148325
5/13/2015 18:15,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,WESTPORTAL AV / VICENTE ST,-122.4669911,37.73972316
5/13/2015 18:15,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,GREENWICH ST / LEAVENWORTH ST,-122.4178006,37.80126838
5/13/2015 18:10,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,CENTRAL,NONE,BAY ST / HYDE ST,-122.42018,37.80478965
5/13/2015 18:05,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,SAN BRUNO AV / BURROWS ST,-122.4040999,37.72883734
5/13/2015 18:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,SOUTHERN,NONE,0 Block of 6TH ST,-122.4095043,37.78152627
5/13/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,BAYVIEW,NONE,ILLINOIS ST / 20TH ST,-122.3875713,37.76054996
5/13/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,CASTRO ST / 16TH ST,-122.4353184,37.76410203
5/13/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,COLE ST / FULTON ST,-122.4513601,37.77517416
5/13/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,LEAVENWORTH ST / BAY ST,-122.418534,37.80499774
5/13/2015 17:55,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Wednesday,SOUTHERN,"ARREST, BOOKED",1200 Block of MARKET ST,-122.4154488,37.77829352
5/13/2015 17:48,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Wednesday,NORTHERN,NONE,0 Block of DANIELBURNHAM CT,-122.4225406,37.78690887
5/13/2015 17:47,ASSAULT,CHILD ABUSE (PHYSICAL),Wednesday,BAYVIEW,NONE,0 Block of WHITFIELD CT,-122.3818379,37.73110435
5/13/2015 17:45,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
5/13/2015 17:40,ASSAULT,THREATS AGAINST LIFE,Wednesday,CENTRAL,NONE,1400 Block of STOCKTON ST,-122.4090315,37.79925319
5/13/2015 17:40,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,SAN JOSE AV / 29TH ST,-122.4226722,37.74394327
5/13/2015 17:30,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,MISSION,NONE,2300 Block of MISSION ST,-122.4190589,37.75942275
5/13/2015 17:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,11TH ST / HARRISON ST,-122.4124833,37.77063059
5/13/2015 17:20,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Wednesday,CENTRAL,NONE,600 Block of JONES ST,-122.4132985,37.78705782
5/13/2015 17:00,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY",Wednesday,NORTHERN,NONE,500 Block of GROVE ST,-122.4256351,37.77743878
5/13/2015 17:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,500 Block of NORTHPOINT ST,-122.4162596,37.80618612
5/13/2015 17:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,400 Block of 39TH AV,-122.4997301,37.78035003
5/13/2015 17:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,MISSION,NONE,16TH ST / SANCHEZ ST,-122.4308826,37.76437256
5/13/2015 16:50,ROBBERY,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ A KNIFE,Wednesday,INGLESIDE,NONE,4600 Block of MISSION ST,-122.4350413,37.72425605
5/13/2015 16:46,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
5/13/2015 16:42,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,2100 Block of FULTON ST,-122.4505559,37.77533518
5/13/2015 16:34,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,HAWTHORNE ST / HARRISON ST,-122.3962658,37.78344043
5/13/2015 16:30,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,MISSION,NONE,0 Block of DOLORES ST,-122.4265894,37.76841217
5/13/2015 16:30,VEHICLE THEFT,STOLEN TRUCK,Wednesday,NORTHERN,NONE,SUTTER ST / WEBSTER ST,-122.4315532,37.78630399
5/13/2015 16:20,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
5/13/2015 16:09,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,SOUTHERN,NONE,0 Block of MAIN ST,-122.3957716,37.79243096
5/13/2015 16:02,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",Wednesday,PARK,NONE,200 Block of UPPER TR,-122.4450692,37.76285497
5/13/2015 16:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,2200 Block of LEAVENWORTH ST,-122.4177715,37.80150566
5/13/2015 16:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,1000 Block of GREAT HY,-122.5102257,37.76724422
5/13/2015 16:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,DELVALE AV / ENCLINE CT,-122.447802,37.74176976
5/13/2015 15:58,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,NORTHERN,NONE,2400 Block of CALIFORNIA ST,-122.4346894,37.78885384
5/13/2015 15:58,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,NORTHERN,NONE,2400 Block of CALIFORNIA ST,-122.4346894,37.78885384
5/13/2015 15:40,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,PARK,NONE,1700 Block of MCALLISTER ST,-122.4408795,37.77753219
5/13/2015 15:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,HYDE ST / LOMBARD ST,-122.4196161,37.80199424
5/13/2015 15:22,ASSAULT,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,Wednesday,BAYVIEW,NONE,1200 Block of CONNECTICUT ST,-122.3962703,37.7504525
5/13/2015 15:15,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,NORTHERN,NONE,1500 Block of FRANKLIN ST,-122.4238031,37.78896574
5/13/2015 15:00,VEHICLE THEFT,STOLEN TRUCK,Wednesday,NORTHERN,NONE,2000 Block of CALIFORNIA ST,-122.4280877,37.78958206
5/13/2015 15:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,TENDERLOIN,NONE,HYDE ST / MCALLISTER ST,-122.415318,37.78071793
5/13/2015 15:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,BEACH ST / POLK ST,-122.4238488,37.80622143
5/13/2015 15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,POST ST / WEBSTER ST,-122.4313698,37.78537304
5/13/2015 15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,MISSION ST / 5TH ST,-122.406482,37.78273179
5/13/2015 14:45,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Wednesday,SOUTHERN,NONE,800 Block of FOLSOM ST,-122.4023437,37.78116668
5/13/2015 14:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,400 Block of JOHNFKENNEDY DR,-122.4652087,37.77261005
5/13/2015 14:30,BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE,700 Block of MIRAMAR AV,-122.4583428,37.72977527
5/13/2015 14:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,RICHMOND,NONE,700 Block of 45TH AV,-122.5058834,37.77436883
5/13/2015 14:15,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TARAVAL,NONE,1700 Block of OCEAN AV,-122.4607094,37.7249317
5/13/2015 14:15,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.4058954,37.78673422
5/13/2015 14:03,ASSAULT,THREATS AGAINST LIFE,Wednesday,INGLESIDE,"ARREST, BOOKED",29TH ST / SAN JOSE AV,-122.4226722,37.74394327
5/13/2015 14:00,ASSAULT,BATTERY,Wednesday,TENDERLOIN,NONE,0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441
5/13/2015 14:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,400 Block of JOHNFKENNEDY DR,-122.4652087,37.77261005
5/13/2015 14:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
5/13/2015 14:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,NORTHERN,NONE,1900 Block of SUTTER ST,-122.4318638,37.78620867
5/13/2015 14:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE,100 Block of MELROSE AV,-122.4450699,37.7337501
5/13/2015 14:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,INGLESIDE,NONE,100 Block of APPLETON AV,-122.4230713,37.73854905
5/13/2015 14:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,TARAVAL,NONE,200 Block of CRESTLAKE DR,-122.4845457,37.73511269
5/13/2015 13:58,ROBBERY,ROBBERY OF A CHAIN STORE WITH A DANGEROUS WEAPON,Wednesday,CENTRAL,JUVENILE BOOKED,300 Block of BAY ST,-122.4128038,37.80577399
5/13/2015 13:58,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,CENTRAL,JUVENILE BOOKED,300 Block of BAY ST,-122.4128038,37.80577399
5/13/2015 13:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,LEAVENWORTH ST / LOMBARD ST,-122.4179701,37.80220232
5/13/2015 13:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,25TH AV / NORIEGA ST,-122.4828987,37.75395503
5/13/2015 13:14,ROBBERY,ROBBERY OF A BANK WITH A DANGEROUS WEAPON,Wednesday,NORTHERN,NONE,2300 Block of FILLMORE ST,-122.4342252,37.79116853
5/13/2015 13:05,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
5/13/2015 13:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,NORTHERN,NONE,2300 Block of FILLMORE ST,-122.4343619,37.79115119
5/13/2015 13:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE,200 Block of STILLINGS AV,-122.4448541,37.73449811
5/13/2015 13:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,SOUTHERN,NONE,500 Block of MISSION ST,-122.3995453,37.78812918
5/13/2015 13:00,LARCENY/THEFT,THEFT OF ANIMALS (GENERAL),Wednesday,NORTHERN,NONE,2300 Block of FILLMORE ST,-122.4343619,37.79115119
5/13/2015 12:30,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,BAYVIEW,"ARREST, BOOKED",700 Block of KIRKWOOD AV,-122.3740193,37.72920336
5/13/2015 12:30,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,BAYVIEW,"ARREST, BOOKED",700 Block of KIRKWOOD AV,-122.3740193,37.72920336
5/13/2015 12:21,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,INGLESIDE,"ARREST, BOOKED",1500 Block of DOLORES ST,-122.4243477,37.74504562
5/13/2015 12:20,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,NORTHERN,NONE,1500 Block of CALIFORNIA ST,-122.4198886,37.79073538
5/13/2015 12:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,NORTHERN,NONE,600 Block of VANNESS AV,-122.4206914,37.78148325
5/13/2015 12:00,VEHICLE THEFT,STOLEN TRUCK,Wednesday,SOUTHERN,NONE,600 Block of 8TH ST,-122.4046854,37.77062903
5/13/2015 11:30,LARCENY/THEFT,PETTY THEFT BICYCLE,Wednesday,NORTHERN,NONE,500 Block of LARKIN ST,-122.4173673,37.78286262
5/13/2015 11:22,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,CENTRAL,NONE,700 Block of COLUMBUS AV,-122.4120043,37.80148647
5/13/2015 11:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,POLK ST / WILLOW ST,-122.4192748,37.78356805
5/13/2015 10:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,17TH ST / MISSION ST,-122.4195157,37.76342923
5/13/2015 10:30,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,VALENCIA ST / 17TH ST,-122.4217338,37.76329969
5/13/2015 10:22,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,CENTRAL,NONE,800 Block of JONES ST,-122.4137051,37.78906405
5/13/2015 10:15,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,SOUTHERN,NONE,0 Block of MAIN ST,-122.3957716,37.79243096
5/13/2015 10:00,ASSAULT,BATTERY,Wednesday,CENTRAL,NONE,1200 Block of UNION ST,-122.4202227,37.7989965
5/13/2015 10:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,MISSION,NONE,2000 Block of MISSION ST,-122.4195204,37.76422894
5/13/2015 9:46,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,MISSION,"ARREST, BOOKED",800 Block of CAPP ST,-122.4174994,37.75308467
5/13/2015 9:40,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.4319796,37.78004785
5/13/2015 9:40,ASSAULT,BATTERY,Wednesday,INGLESIDE,NONE,CRESCENT AV / FOLSOM ST,-122.41369,37.7347307
5/13/2015 9:36,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,0 Block of GLADYS ST,-122.4228657,37.73947657
5/13/2015 9:30,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,MISSION,NONE,2200 Block of MISSION ST,-122.4193502,37.76101609
5/13/2015 9:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,500 Block of HAYES ST,-122.4254163,37.77662802
5/13/2015 9:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,SOUTHERN,NONE,ZOE ST / BRANNAN ST,-122.3953087,37.77929702
5/13/2015 9:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,DIVISADERO ST / TURK ST,-122.4387417,37.77965932
5/13/2015 8:55,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,TARAVAL,NONE,1700 Block of 11TH AV,-122.4677968,37.75554147
5/13/2015 8:10,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,2000 Block of MARKET ST,-122.4269556,37.76924706
5/13/2015 8:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE,1600 Block of SUNNYDALE AV,-122.4171448,37.71215029
5/13/2015 8:00,ASSAULT,BATTERY,Wednesday,MISSION,NONE,24TH ST / FOLSOM ST,-122.414089,37.75250508
5/13/2015 8:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,LOOMIS ST / FLOWER ST,-122.4045994,37.74211889
5/13/2015 7:59,ASSAULT,BATTERY,Wednesday,MISSION,NONE,23RD ST / UTAH ST,-122.4054558,37.75433708
5/13/2015 7:59,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,MISSION,NONE,23RD ST / UTAH ST,-122.4054558,37.75433708
5/13/2015 7:50,LARCENY/THEFT,GRAND THEFT BICYCLE,Wednesday,SOUTHERN,NONE,100 Block of SPEAR ST,-122.3932283,37.79195104
5/13/2015 7:35,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,0 Block of GENOA PL,-122.4065029,37.80126532
5/13/2015 7:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,SOUTHERN,NONE,0 Block of RAUSCH ST,-122.4097748,37.77644368
5/13/2015 7:20,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,TENDERLOIN,NONE,200 Block of MASON ST,-122.4095237,37.7857603
5/13/2015 7:10,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,BAYVIEW,NONE,1500 Block of SILVER AV,-122.4060923,37.73234832
5/13/2015 7:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,2100 Block of ALAMEDA ST,-122.4063276,37.76849835
5/13/2015 7:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,RICHMOND,NONE,100 Block of SUTROHEIGHTS AV,-122.5086318,37.77606949
